Gemeente,Evolutie 2018 - 2019,Mediaanprijs 2018,Mediaanprijs 2019,Mediaanprijs 2020,Evolutie Juli 2020 - December 2019,publicatiekolom
Estinnes,-38,180,112.5,155,38,38
Étalle,8,250,269,null,null,0
Etterbeek,5,517.5,542.5,600,11,11
Eupen,null,null,null,null,null,-50
Evere,-3,342.5,333.5,335,0,0
Evergem,3,280,289,302.5,5,5
Faimes,26,225.5,285,null,null,0
Farciennes,-13,115,100,123.5,24,24
Fauvillers,null,180,null,null,null,-50
Fernelmont,-11,255,227.5,null,null,0
Ferrières,-6,207.5,195.5,null,null,0
Fexhe-le-Haut-Clocher,null,null,227.625,null,null,-50
Flémalle,8,150,162.5,162.5,0,0
Fléron,4,177.75,185,185,0,0
Fleurus,0,155,155,155,0,0
Floreffe,11,185,205,null,null,0
Florennes,11,144,160,162.5,2,2
Florenville,-5,140,133.5,150,12,12
Fontaine-l'Évêque,-2,127,125,150,20,20
Fosses-la-Ville,7,190,202.5,230,14,14
Frameries,-8,120,111,110,-1,-1
Frasnes-lez-Anvaing,-8,180,165,230,39,39
Froidchapelle,-5,121.25,115,100,-13,-13
Galmaarden,1,269,271.5,267.5,-1,-1
Ganshoren,-2,337.5,330,347.5,5,5
Gavere,8,287,310,297.5,-4,-4
Gedinne,6,132.5,140,155,11,11
Geel,2,260,265,252.5,-5,-5
Geer,null,203.75,null,null,null,-50
Geetbets,6,235,249,225,-10,-10
Jodoigne,0,240,240,240,0,0
Gembloux,0,240,240.25,267.5,11,11
Genappe,-1,260,258,303,17,17
Genk,-2,219,215,226.414,5,5
Gent,7,275,295.5,300,2,2
Geraardsbergen,9,170,185,199,8,8
Gerpinnes,16,190,220,220,0,0
Gesves,-8,265,245,null,null,0
Gingelom,5,190,198.75,220,11,11
Gistel,0,260,260,240,-8,-8
Glabbeek,5,285,300,null,null,0
Gooik,1,298,300,325,8,8
Gouvy,-8,185,170,170,0,0
Grâce-Hollogne,6,150,159,160,1,1
